,2020,,,,,,,,,,,,
重要犯罪総数,福島県,11,17,31,36,41,42,47,55,60,64,66,
重要犯罪総数,東京都,112,240,372,457,532,634,749,852,963,1057,1165,
重要犯罪総数,茨城県,10,32,55,67,76,95,118,135,155,178,192,
重要犯罪総数,栃木県,7,13,19,29,42,47,55,67,74,81,87,
重要犯罪総数,群馬県,12,17,30,34,35,42,57,72,83,92,97,
重要犯罪総数,埼玉県,53,95,147,194,236,292,364,417,477,532,576,
重要犯罪総数,千葉県,43,98,137,158,189,228,279,314,343,383,427,
重要犯罪総数,神奈川県,46,88,153,191,232,277,330,372,444,495,552,
重要犯罪総数,新潟県,8,22,28,32,38,46,53,61,75,87,96,
重要犯罪総数,山梨県,4,8,9,12,15,17,22,27,32,36,43,
重要犯罪総数,長野県,6,11,22,24,29,33,38,49,60,73,80,
重要犯罪総数,静岡県,16,32,52,70,91,120,136,157,176,202,222,
重要犯罪総数,富山県,4,5,9,12,16,18,23,25,32,35,41,
重要犯罪総数,石川県,4,12,18,24,24,32,36,42,43,52,57,
重要犯罪総数,福井県,0,4,8,12,14,14,16,22,28,29,33,
重要犯罪総数,岐阜県,9,11,21,24,28,37,49,57,62,70,79,
重要犯罪総数,愛知県,50,89,138,182,216,274,330,387,424,487,534,
重要犯罪総数,三重県,4,13,19,25,28,34,41,49,53,57,69,
重要犯罪総数,滋賀県,6,13,22,28,32,40,45,59,68,73,79,
重要犯罪総数,京都府,17,34,48,54,67,89,111,130,150,175,187,
重要犯罪総数,大阪府,87,156,259,322,408,527,637,739,830,941,1035,
重要犯罪総数,兵庫県,47,88,135,163,194,237,294,346,397,444,497,
重要犯罪総数,奈良県,14,15,23,26,36,42,52,59,65,85,102,
重要犯罪総数,和歌山県,4,9,15,18,21,27,31,35,38,40,43,
重要犯罪総数,鳥取県,0,2,8,10,11,12,17,18,23,26,29,
重要犯罪総数,島根県,2,3,6,6,8,11,13,14,17,23,28,
重要犯罪総数,岡山県,6,13,21,34,42,54,58,63,75,86,100,
重要犯罪総数,広島県,12,31,52,65,78,92,104,124,141,157,168,
重要犯罪総数,山口県,5,8,13,13,18,21,26,38,41,46,50,
重要犯罪総数,徳島県,1,3,4,5,7,8,11,15,17,17,18,
重要犯罪総数,香川県,8,15,25,28,37,44,56,60,69,75,77,
重要犯罪総数,愛媛県,2,4,11,13,14,19,22,25,31,39,46,
重要犯罪総数,高知県,1,6,9,10,13,19,23,26,29,33,37,
重要犯罪総数,福岡県,27,53,74,98,130,172,211,248,278,306,328,
重要犯罪総数,佐賀県,3,5,7,8,10,14,19,22,26,31,38,
重要犯罪総数,長崎県,4,11,17,18,21,26,34,36,38,44,50,
重要犯罪総数,熊本県,5,10,18,30,43,48,60,69,74,86,91,
重要犯罪総数,大分県,4,11,13,18,21,27,36,44,44,44,50,
重要犯罪総数,宮崎県,4,6,13,17,20,27,36,37,39,41,47,
重要犯罪総数,鹿児島県,6,9,15,18,24,32,35,40,46,54,60,
重要犯罪総数,沖縄県,8,13,27,32,38,42,51,58,71,76,80,
,,,,,,,,,,,,,
罪名,都道府県,1,2,3,4,5,6,7,8,9,10,11,12
殺人,全国,77,145,232,290,370,452,551,632,694,778,848,
殺人,北海道,0,1,4,8,11,17,22,25,27,30,33,
殺人,青森県,0,0,1,1,2,3,3,3,4,4,4,
殺人,岩手県,0,0,0,1,1,2,2,2,2,4,4,
殺人,宮城県,1,2,4,5,7,8,10,12,13,16,16,
殺人,秋田県,0,0,1,1,1,1,2,2,2,2,2,
殺人,山形県,1,1,1,1,2,2,2,3,3,3,3,
殺人,福島県,2,2,3,5,7,7,7,7,7,7,7,
殺人,東京都,7,18,32,41,50,57,69,75,80,88,93,
殺人,茨城県,0,2,5,5,6,8,12,12,15,17,18,
殺人,栃木県,0,0,0,1,4,5,5,8,9,9,9,
殺人,群馬県,2,3,3,4,4,6,8,8,8,10,11,
殺人,埼玉県,12,17,25,30,36,42,50,52,60,63,69,
殺人,千葉県,9,11,14,16,22,27,35,39,40,45,49,
殺人,神奈川県,3,7,12,17,20,28,33,38,41,45,49,
殺人,新潟県,1,5,6,6,6,6,6,8,8,11,12,
殺人,山梨県,1,1,1,1,3,3,6,6,7,7,7,
殺人,長野県,1,1,1,1,2,2,2,4,7,8,8,
殺人,静岡県,0,4,7,8,11,14,14,17,18,21,22,
殺人,富山県,1,1,1,2,3,3,5,6,6,7,8,
殺人,石川県,0,1,1,3,3,3,4,5,5,5,6,
殺人,福井県,0,0,0,0,0,0,0,0,1,1,1,
殺人,岐阜県,2,2,5,5,5,6,6,7,9,10,11,
殺人,愛知県,8,16,24,30,33,41,51,61,63,68,72,
殺人,三重県,0,3,4,6,6,7,7,9,9,10,12,
殺人,滋賀県,0,2,2,2,2,2,3,3,3,3,3,
殺人,京都府,0,0,0,0,0,1,4,5,6,9,12,
殺人,大阪府,16,23,27,36,45,53,64,72,79,89,100,
殺人,兵庫県,0,3,7,7,12,17,23,29,34,39,43,
殺人,奈良県,0,0,2,2,2,3,3,6,7,10,11,
殺人,和歌山県,0,1,4,4,6,7,7,8,9,9,10,
殺人,鳥取県,0,0,1,1,1,1,2,2,2,2,3,
殺人,島根県,0,0,0,0,1,1,1,1,1,1,1,
殺人,岡山県,2,4,7,9,10,12,13,13,17,18,19,
殺人,広島県,0,1,5,5,6,8,11,13,13,13,14,
殺人,山口県,1,1,1,1,2,2,2,4,4,4,4,
殺人,徳島県,0,1,1,1,1,1,1,1,1,1,1,
殺人,香川県,0,0,0,0,1,1,2,3,3,4,4,
殺人,愛媛県,0,0,2,2,3,4,4,5,6,8,8,
殺人,高知県,0,0,0,0,1,1,1,1,1,2,4,
殺人,福岡県,2,3,4,6,11,14,19,25,31,34,35,
殺人,佐賀県,1,1,1,1,1,3,4,4,4,4,5,
殺人,長崎県,1,2,2,2,3,4,4,4,4,5,7,
殺人,熊本県,0,1,1,2,4,4,5,6,6,10,10,
殺人,大分県,0,1,1,1,2,3,3,4,4,4,5,
殺人,宮崎県,0,0,2,2,3,3,5,5,6,6,9,
殺人,鹿児島県,1,1,3,3,3,3,3,3,3,4,5,
殺人,沖縄県,2,2,4,5,5,6,6,6,6,8,9,
,,,,,,,,,,,,,
罪名,都道府県,1,2,3,4,5,6,7,8,9,10,11,12
強盗,全国,145,276,442,544,647,737,856,966,1088,1195,1287,
強盗,北海道,2,3,8,11,18,20,23,24,25,29,29,
強盗,青森県,0,0,0,1,1,1,2,2,2,3,3,
強盗,岩手県,0,0,1,1,1,1,1,1,1,2,2,
強盗,宮城県,1,1,2,4,6,6,8,9,11,13,14,
強盗,秋田県,0,0,0,0,0,0,0,0,1,1,1,
強盗,山形県,0,1,3,3,3,3,3,3,3,3,3,
強盗,福島県,1,2,3,3,3,3,3,6,7,7,8,
強盗,東京都,34,68,100,118,128,138,156,178,205,225,243,
強盗,茨城県,3,5,9,10,11,13,15,19,22,25,29,
強盗,栃木県,2,4,5,6,6,6,7,7,9,11,11,
強盗,群馬県,0,1,4,6,6,7,9,12,13,14,14,
強盗,埼玉県,16,29,43,51,58,73,86,94,103,111,120,
強盗,千葉県,13,27,39,44,52,60,66,69,77,83,87,
強盗,神奈川県,18,34,52,62,72,78,79,88,103,108,116,
強盗,新潟県,1,1,1,2,3,3,3,4,7,8,8,
強盗,山梨県,0,0,0,0,1,2,3,3,4,5,9,
強盗,長野県,0,1,1,2,5,5,5,5,7,8,9,
強盗,静岡県,2,5,10,14,19,22,23,27,30,33,36,
強盗,富山県,0,1,2,2,2,2,2,2,3,3,4,
強盗,石川県,0,2,3,3,3,3,3,3,3,4,4,
強盗,福井県,0,0,0,1,1,1,3,3,3,3,3,
強盗,岐阜県,0,1,4,4,4,5,6,7,7,7,9,
強盗,愛知県,5,7,18,27,32,38,46,58,67,73,84,
強盗,三重県,0,2,2,3,4,4,5,7,7,7,10,
強盗,滋賀県,1,3,4,5,6,7,7,8,8,8,8,
強盗,京都府,2,8,12,14,17,19,20,22,24,28,29,
強盗,大阪府,16,25,44,54,69,85,109,123,137,155,165,
強盗,兵庫県,11,15,25,33,38,45,60,67,71,77,81,
強盗,奈良県,3,3,3,3,4,4,6,7,8,8,8,
強盗,和歌山県,1,1,1,1,1,3,4,5,5,5,5,
強盗,鳥取県,0,0,2,3,4,4,4,4,4,5,5,
強盗,島根県,0,1,1,1,1,1,1,1,1,1,1,
強盗,岡山県,0,1,4,5,6,7,7,9,11,12,12,
強盗,広島県,2,3,7,11,13,13,14,16,18,19,19,
強盗,山口県,1,1,1,1,2,2,2,2,2,2,3,
強盗,徳島県,0,0,0,0,0,0,0,0,0,0,0,
強盗,香川県,0,0,3,3,4,6,7,7,9,11,11,
強盗,愛媛県,0,0,0,0,0,1,1,1,1,1,2,
強盗,高知県,0,0,0,0,0,0,1,1,1,1,2,
強盗,福岡県,7,14,17,19,27,27,31,33,35,38,39,
強盗,佐賀県,0,0,0,0,0,0,1,1,1,2,2,
強盗,長崎県,0,0,0,0,0,0,0,0,0,0,1,
強盗,熊本県,1,2,3,4,4,4,6,6,8,10,10,
強盗,大分県,1,2,2,5,5,6,7,9,9,9,10,
強盗,宮崎県,0,0,0,0,0,1,1,2,2,2,2,
強盗,鹿児島県,0,0,1,2,3,4,5,5,5,7,7,
強盗,沖縄県,1,2,2,2,4,4,5,6,8,8,9,
,,,,,,,,,,,,,
罪名,都道府県,1,2,3,4,5,6,7,8,9,10,11,12
強盗殺人,全国,47,97,149,183,220,240,258,289,322,351,370,
強盗殺人,北海道,2,3,7,7,12,12,13,13,13,14,14,
強盗殺人,青森県,0,0,0,0,0,0,0,0,0,1,1,
強盗殺人,岩手県,0,0,0,0,0,0,0,0,0,1,1,
強盗殺人,宮城県,0,0,1,1,1,1,1,1,2,4,4,
強盗殺人,秋田県,0,0,0,0,0,0,0,0,0,0,0,
強盗殺人,山形県,0,1,3,3,3,3,3,3,3,3,3,
強盗殺人,福島県,0,1,1,1,1,1,1,1,2,2,2,
強盗殺人,東京都,8,21,27,35,38,38,39,46,56,59,61,
強盗殺人,茨城県,0,1,3,4,4,6,8,8,8,9,13,
強盗殺人,栃木県,1,3,4,5,5,5,5,5,5,5,5,
強盗殺人,群馬県,0,1,2,4,4,5,5,7,7,7,7,
強盗殺人,埼玉県,7,11,14,17,18,22,23,24,27,29,29,
強盗殺人,千葉県,5,8,12,14,16,18,20,21,23,25,27,
強盗殺人,神奈川県,4,13,17,18,21,24,24,28,34,36,37,
強盗殺人,新潟県,1,1,1,1,1,1,1,1,1,1,1,
強盗殺人,山梨県,0,0,0,0,0,0,0,0,1,2,3,
強盗殺人,長野県,0,0,0,0,0,0,0,0,1,2,2,
強盗殺人,静岡県,1,3,5,8,11,11,10,12,13,14,15,
強盗殺人,富山県,0,1,2,2,2,2,2,2,2,2,3,
強盗殺人,石川県,0,2,2,2,2,2,2,2,2,2,2,
強盗殺人,福井県,0,0,0,1,1,1,1,1,1,1,1,
強盗殺人,岐阜県,0,1,2,2,2,3,4,5,5,5,6,
強盗殺人,愛知県,2,2,4,5,9,11,13,16,17,21,23,
強盗殺人,三重県,0,2,2,2,2,2,2,3,3,3,4,
強盗殺人,滋賀県,1,1,1,1,1,1,1,1,1,1,1,
強盗殺人,京都府,0,3,5,7,9,10,10,11,11,11,11,
強盗殺人,大阪府,5,6,13,15,20,22,27,31,32,35,37,
強盗殺人,兵庫県,2,2,4,6,6,8,9,10,10,11,11,
強盗殺人,奈良県,1,1,1,1,2,2,3,3,3,3,3,
